amenity_name,amenity_type,lat,long,district_name
Jurong East,MRT,1.333207,103.742308,JURONG EAST
Bukit Batok,MRT,1.349069,103.749596,BUKIT BATOK
Bukit Gombak,MRT,1.359043,103.751863,BUKIT BATOK
Choa Chu Kang,MRT,1.385417,103.744316,CHOA CHU KANG
Yew Tee,MRT,1.397383,103.747523,CHOA CHU KANG
Kranji,MRT,1.425302,103.762049,SUNGEI KADUT
Marsiling,MRT,1.432579,103.77415,WOODLANDS
Woodlands,MRT,1.436984,103.786406,WOODLANDS
Admiralty,MRT,1.436984,103.786406,WOODLANDS
Sembawang,MRT,1.449133,103.82006,SEMBAWANG
Yishun,MRT,1.429666,103.835044,YISHUN
Khatib,MRT,1.417423,103.832995,YISHUN
Yio Chu Kang,MRT,1.381765,103.844923,ANG MO KIO
Ang Mo Kio,MRT,1.370025,103.849588,ANG MO KIO
Bishan,MRT,1.35092,103.848206,BISHAN
Braddell,MRT,1.34055,103.847098,TOA PAYOH
Toa Payoh,MRT,1.332405,103.847436,TOA PAYOH
Novena,MRT,1.320089,103.843405,NOVENA
Newton,MRT,1.31383,103.838021,NEWTON
Orchard,MRT,1.304041,103.831792,ORCHARD
Somerset,MRT,1.300508,103.838428,ORCHARD
Dhoby Ghaut,MRT,1.299169,103.845799,MUSEUM
City Hall,MRT,1.293119,103.852089,DOWNTOWN CORE
Raffles Place,MRT,1.284001,103.85155,DOWNTOWN CORE
Marina Bay,MRT,1.276481,103.854598,DOWNTOWN CORE
Marina South Pier,MRT,1.271422,103.863581,STRAITS VIEW
Tuas Link,MRT,1.340371,103.636866,TUAS
Tuas West Road,MRT,1.330075,103.639636,TUAS
Tuas Crescent,MRT,1.321091,103.649075,TUAS
Gul Circle,MRT,1.319809,103.66083,PIONEER
Joo Koon,MRT,1.327826,103.678318,PIONEER
Pioneer,MRT,1.337645,103.69742,JURONG WEST
Boon Lay,MRT,1.33862,103.705817,JURONG WEST
Lakeside,MRT,1.344264,103.720797,JURONG WEST
Chinese Garden,MRT,1.342436,103.732582,JURONG EAST
Clementi,MRT,1.314925,103.765341,CLEMENTI
Dover,MRT,1.311414,103.778596,QUEENSTOWN
Buona Vista,MRT,1.307337,103.790046,QUEENSTOWN
Commonwealth,MRT,1.302439,103.798326,QUEENSTOWN
Queenstown,MRT,1.294867,103.805902,QUEENSTOWN
Redhill,MRT,1.289674,103.816787,BUKIT MERAH
Tiong Bahru,MRT,1.286555,103.826956,BUKIT MERAH
Outram Park,MRT,1.280319,103.839459,OUTRAM
Tanjong Pagar,MRT,1.276385,103.846771,DOWNTOWN CORE
Bugis,MRT,1.300747,103.855873,DOWNTOWN CORE
Lavender,MRT,1.307577,103.863155,KALLANG
Kallang,MRT,1.311532,103.871372,KALLANG
Aljunied,MRT,1.316474,103.882762,GEYLANG
Paya Lebar,MRT,1.318214,103.893133,GEYLANG
Eunos,MRT,1.319809,103.902888,GEYLANG
Kembangan,MRT,1.320998,103.913433,BEDOK
Bedok,MRT,1.324043,103.930205,BEDOK
Tanah Merah,MRT,1.327309,103.946479,BEDOK
Simei,MRT,1.343237,103.953343,TAMPINES
Tampines,MRT,1.354467,103.943325,TAMPINES
Pasir Ris,MRT,1.373234,103.949343,PASIR RIS
Expo,MRT,1.334479,103.961459,TAMPINES
Changi Airport,MRT,1.357622,103.988487,CHANGI
HarbourFront,MRT,1.265453,103.820514,BUKIT MERAH
Chinatown,MRT,1.284566,103.843626,OUTRAM
